Corrupted_Row,email,text_without_email,name,role,city,clean_text
Gina Córdova;Product Owner;Daule;gina37@g mail . com,gina37@gmail.com,Gina Córdova;Product Owner;Daule;,Gina Córdova,Product Owner,Daule,Gina Córdova Product Owner Daule
"Juan Carlos Mena,Finance Director,Latacunga,juan38@g mail . com",juan38@gmail.com,"Juan Carlos Mena,Finance Director,Latacunga,",Juan Carlos Mena,Finance Director,Latacunga,Juan Carlos Mena Finance Director Latacunga
"Javier Moreno,HR,Milagro,javier39@g mail . com",javier39@gmail.com,"Javier Moreno,HR,Milagro,",Javier Moreno,HR,Milagro,Javier Moreno HR Milagro
RamiroAndrade::HR::Loja::ramiro40@gmail.com,ramiro40@gmail.com,RamiroAndrade::HR::Loja::,Ramiro Andrade,HR,Loja,RamiroAndrade HR Loja
Gina Córdova::Product Owner::Guayaquil::gina41@g mail . com,gina41@gmail.com,Gina Córdova::Product Owner::Guayaquil::,Gina Córdova,Product Owner,Guayaquil,Gina Córdova Product Owner Guayaquil
Paola López	Sales	Guayaquil	paola42@g mail . com	 note:fix-this ,paola42@gmail.com,Paola López Sales Guayaquil,Paola López,Sales,Guayaquil,Paola López Sales Guayaquil
Luis GomezSupport AgentTenaluis43@g mail . com,AgentTenaluis43@gmail.com,Luis GomezSupport,Luis Gomez,Support,,Luis GomezSupport
"Pablo Villacis,QA Lead,Puyo,pablo44@g mail . com, note:fix-this ",pablo44@gmail.com,"Pablo Villacis,QA Lead,Puyo, ,",Pablo Villacis,QA Lead,Puyo,Pablo Villacis QA Lead Puyo
Claudia Pérez::Developer::Riobamba::claudia45@g mail . com:: note:fix-this ,claudia45@gmail.com,Claudia Pérez::Developer::Riobamba:: ::,Claudia Pérez,Developer,Riobamba,Claudia Pérez Developer Riobamba
MonicaSilva::Sales::Guayaquil::monica46@gmail.com,monica46@gmail.com,MonicaSilva::Sales::Guayaquil::,Monica Silva,Sales,Guayaquil,MonicaSilva Sales Guayaquil
Diego Torres::QA Lead::Milagro::diego47@g mail . com:: note:fix-this ,diego47@gmail.com,Diego Torres::QA Lead::Milagro:: ::,Diego Torres,QA Lead,Milagro,Diego Torres QA Lead Milagro
Marcelo Paredes   Sales   Manta   marcelo48@g mail . com,marcelo48@gmail.com,Marcelo Paredes Sales Manta,Marcelo Paredes,Sales,Manta,Marcelo Paredes Sales Manta
Veronica Lasso|Manager|Ambato|veronica49@g mail . com,veronica49@gmail.com,Veronica Lasso|Manager|Ambato|,Veronica Lasso,Manager,Ambato,Veronica Lasso Manager Ambato
